plfs_seq_code,canonical_name,n_employed,risk_Baseline,rank_Baseline,risk_A_no_agri,rank_A_no_agri,risk_B_double_agri,rank_B_double_agri,risk_C_oecd_low,rank_C_oecd_low,risk_D_oecd_high,rank_D_oecd_high,max_rank,min_rank,rank_range,stability
01,Bagalkote,491,12.54,20,1.32,22,36.32,14,5.45,19,20.31,20,22,14,8,SENSITIVE
02,Bengaluru Urban,202,13.18,17,1.93,17,36.81,8,5.88,18,21.16,18,18,8,10,SENSITIVE
08,Chamarajanagara,351,11.64,24,1.46,20,35.34,20,4.6,26,19.47,23,26,20,6,SENSITIVE
11,Chitradurga,285,15.41,6,3.1,13,37.99,4,7.51,4,23.64,8,13,4,9,SENSITIVE
17,Haveri,264,16.23,1,6.48,4,35.33,21,7.69,3,25.13,2,21,1,20,SENSITIVE
18,Kalaburagi,3234,13.3,16,5.83,5,30.31,31,5.28,22,21.98,13,31,5,26,SENSITIVE
21,Koppal,304,15.02,8,5.59,6,35.59,18,7.02,7,23.77,6,18,6,12,SENSITIVE
23,Mysuru,518,16.23,1,5.17,7,36.63,11,7.89,2,24.92,4,11,1,10,SENSITIVE
25,Ramanagara,219,13.0,18,1.68,19,36.34,13,6.0,17,20.8,19,19,13,6,SENSITIVE
